Código;Descrição Resumida
"1904002007";"CABO INS NAVAL 300V (90 Gr) CL2 (XLPE) SECAO 4P x 1.5mm2"
"1904002008";"CABO INS NAVAL 300V (90 Gr) CL2 (XLPE) SECAO 16P x 1.5mm2"
"1904002009";"CABO (INS) 300V (105 Gr) CL2 (XLPE) SECAO 6P x 1.0mm2"
"1904002010";"CABO (INS) 300V (90 Gr) CL2 (XLPE) SECAO 12P x 1.5mm2"
"1904003001";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 1T x 1.5mm2"
"1904003002";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 1Q x 1.5mm2"
"1904003003";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 1P x 2.5mm2"
"1904003004";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 2P x 1.0mm2"
"1904003005";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 6P x 1.5mm2"
"1904003006";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 12P x 1.0mm2"
"1904003007";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 4Q x 1.5mm2"
"1904003008";"CABO INS NAVAL 300V (90 Gr) CL2 (EPR) SECAO 6T x 1.5mm2"
"1904004001";"CABO INS NAVAL 250V i (90 Gr) CL2 (MGT+EPR) 1 x 2 x 1.5mm2"
"1904004002";"CABO INS NAVAL 250V i (90 Gr) CL2 (MGT+EPR) 2 x 2 x 1.5mm2"
"1904004003";"CABO INS NAVAL 250V i (90 Gr) CL2 (MGT+EPR) 4 x 2 x 1.5mm2"
"1904004004";"CABO INS NAVAL 250V i (90 Gr) CL2 (MGT+EPR) 12 x 2 x 1.5mm2"
"1904004005";"CABO INS NAVAL 250V c (90 Gr) CL2 (MGT+EPR) 12 x 2 x 1.5mm2"
"1904004006";"CABO INS NAVAL 250V c (90 Gr) CL2 (MGT+EPR) 6 x 2 x 1.5mm2"
"1904004007";"CABO INS NAVAL 250V c (90 Gr) CL2 (MGT+EPR) 8 x 2 x 1.5mm2"
"1904005005";"CABO INS NAVAL 250V (90 Gr) CL2 (HFEPR- SHF1) 1 x 2 x 1.5mm2"
"1904005013";"CABO INS NAVAL 250V (90 Gr) CL2 (HFEPR- SHF1) 2 x 2 x 1.5mm2"
"1905009003";"CABO POTENCIA 0.75 kV (70 GR) CL-5 (PE) SECAO 4mm2"
"1905015001";"CABO NAVAL 0.6/1 kV (90 Gr) CL5 (XLPE) SECAO 4 x 50mm2"
"1905015002";"CABO NAVAL 0.6/1 kV (90 Gr) CL5 (XLPE) SECAO 3 x 35mm2"
"1905016002";"CABO NAVAL 0.6/1 kV (90 Gr) CL2 (XLPE) 3C x 4mm2"
"1905016003";"CABO NAVAL 0.6/1 kV (90 Gr) CL2 (XLPE) 3C x 6mm2"
"1905016004";"CABO NAVAL 0.6/1 kV (90 Gr) CL2 (XLPE) 2C x 2.5mm2"
"1905018023";"CABO NAVAL 0.6/1 kV () 90 GRAUS SECAO 4 x 2.5mm2"
"1905018025";"CABO NAVAL 0.6/1 kV () 90 GRAUS SECAO 4 x 6mm2"
"1905018026";"CABO NAVAL 0.6/1 kV () 90 GRAUS SECAO 4 x 10mm2"
"1905018027";"CABO NAVAL 0.6/1 kV () 90 GRAUS SECAO 4 x 16mm2"
"1909002001";"CABO NAVAL MULTIPOLAR 0.6/1 kV (90 Gr) CL2 (XLPE) 3P x 4mm2"
"1909002002";"CABO NAVAL MULTIPOLAR 0.6/1 kV (90 Gr) CL2 (XLPE) 3P x 6mm2"
"1909002003";"CABO NAVAL MULTIPOLAR 0.6/1 kV (90 Gr) CL2 (XLPE) 4P x 6mm2"
"1909002004";"CABO NAVAL MULTIPOLAR 0.6/1 kV (90 Gr) CL2 (XLPE) 3P x 2.5mm"
"1910001003";"CABO DE COMUNICACAO TIPO COAXIAL 6.85mm (RG6 - 75 OHMS)"
"1905006014";"CB POTENCIA, TEMP MOLE CL-5, ST2 T-0,6/1kV; 90 GRAUS; SECAO 1 x 6mm2"
"1835003001";"TUBO ESPIRAL EM POLIETILENO P/TERMINACOES CABO 3.2 a 12.5mm"
"1835002004";"ESPAGUETE (PVC) TERMOCONTRATIL 1kV (1/8 pol - 3.2mm)"
"2002001004";"CAD TIPO (L) AC A36 ESP. 5/16 (7.94mm), (101.60 x 76.20mm) (4 x 3 pol)"
"2002001005";"CANTONEIRA TIPO (L) AC A36 (4 x 3 pol) ESP 3/8 pol"
"2002001008";"CANTONEIRA TIPO (L) AC A36 (5 x 3.1/2 pol) ESP 5/16 pol"
"2002001009";"CANTONEIRA TIPO (L) AC A36 (5 x 3.1/2 pol) ESP 3/8 pol"
"2002001016";"CANTONEIRA TIPO (L) AC A36 (6 x 4 pol) ESP 3/8 pol"
"2002001018";"CANTONEIRA TIPO (L) AC A36 (6 x 4 pol) ESP 1/2 pol"
"2002001028";"CANTONEIRA TIPO (L) AC A36 (8 x 4 pol) ESP 1/2 pol"
"2002001037";"CANTONEIRA TIPO (L) AC A36 (2.1/2 X 1.1/2 pol) ESP 1/4 pol"
"2002001038";"CANTONEIRA TIPO (L) AC A36 (3 x 2 pol) ESP 3/16 pol"
"2002002043";"CANTONEIRA TIPO (L) AC A36 (1/8 x 1.3/8 pol)"
"9001001083";"CANTONEIRA TIPO (L) AC A36 (150 x 90mm) ESP. 9.53mm"
"2002002005";"CANTONEIRA ABAS IGUAIS AC (ASTM A36) 1/8 x 1 pol"
"2002002009";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/8 x 2 pol"
"2002002010";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/16 x 1 pol"
"2002002012";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/16 x 1.1/2 pol"
"2002002014";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/16 x 2 pol"
"2002002015";"CANTONEIRA ABAS IGUAIS (AC), A36, DIM 3/16 x 2.1/2 pol"
"2002002016";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/16 x 3 pol"
"2002002017";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 1 pol"
"2002002018";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 1.1/4 pol"
"2002002019";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 1.1/2 pol"
"2002002020";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 1.3/4 pol"
"2002002021";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 2 pol"
"2002002022";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 2.1/2 pol"
"2002002023";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 3 pol"
"2002002024";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 4 pol"
"2002002025";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 5/16 x 2 pol"
"2002002026";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 5/16 x 2.1/2 pol"
"2002002027";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 5/16 x 3 pol"
"2002002028";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 5/16 x 4 pol"
"2002002029";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 2 pol"
"2002002030";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 2.1/2 pol"
"2002002031";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 3 pol"
"2002002032";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 4 pol"
"2002002033";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 5 pol"
"2002002034";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 6 pol"
"2002002035";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/2 x 3 pol"
"2002002036";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/2 x 4 pol"
"2002002038";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/2 x 6 pol"
"2002002044";"CANTONEIRA ABAS IGUAIS (AC), A36, DIM 3/8 x 1 pol"
"2002002045";"CANTONEIRA ABAS IGUAIS AC (ASTM A36) 5/16 x 6 pol"
"2002002046";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 3.1/2 pol"
"2002003012";"CANTONEIRA ABAS IGUAIS (AI) AISI 316L, DIM 1/4 x 1.1/2 pol"
"2002003014";"CANTONEIRA ABAS IGUAIS (AI) AISI 316L, DIM 1/4 x 2 pol"
"2002003015";"CANTONEIRA ABAS IGUAIS (AI) AISI 316L, DIM 5/16 x 2.1/2 pol"
"2002003018";"CANTONEIRA ABAS IGUAIS (AI) AISI 316L, DIM 1/4 x 3 pol"
"2002003029";"CANTONEIRA ABAS IGUAIS (AI) AISI 316L, DIM 5/16 x 2 pol"
"2002005018";"CANTONEIRA ABAS IGUAIS (AI) AISI 304, DIM 1/4 x 3 pol"
"2002005020";"CANTONEIRA ABAS IGUAIS, (AISI 304) DIM 3/8 x 3 pol"
"2002005029";"CANTONEIRA ABAS IGUAIS (AI) AISI 304, DIM 5/16 x 2 pol"
"2002006013";"CANTONEIRA ABAS IGUAIS (AI) AISI 316, DIM 3/16 x 2.1/2 pol"
"2002006030";"CANTONEIRA ABAS IGUAIS (AI) AISI 316, DIM 1/4 x 2 pol"
"2002007014";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 1/4 x 2.1/2 pol"
"2002007016";"CANTONEIRA ABAS IGUAIS, AC, A36, DIM 3/8 x 2.1/2 pol"
"2002007018";"CANTONEIRA ABAS IGUAIS, (AISI 304L) DIM 1/4 x 3 pol"
"2002008023";"CANTONEIRA ABAS IGUAIS ALUMINIO 2 x 1/8 pol"
"2002009030";"CAI ASTM A572-50, (9.53 x 63.50mm) DN 3/8 x 2.1/2 pol"
"2002009032";"CANTONEIRA ABAS IGUAIS, AC, A572 GR.50, DIM 3/8 x 4 pol"
"2002009034";"CANTONEIRA ABAS IGUAIS, AC, A572 GR.50, DIM 3/8 x 6 pol"
"2002009038";"CANTONEIRA ABAS IGUAIS, AC, A572 GR.50, DIM 1/2 x 6 pol"
"9101002338";"CANTONEIRAS ABAS IGUAIS A-36 2 x 2 x 1/4"
"2008002001";"PERFIL (H) ASTM A572 GRAU 50, W 150mm x 22.5 kg/m"
"2008002002";"PERFIL (H) ASTM A572 GRAU 50, W 150mm x 29.8 kg/m"
"2008002003";"PERFIL (H) ASTM A572 GRAU 50, W 150mm x 37.1 kg/m"
"2008002004";"PERFIL (H) ASTM A572 GRAU 50, W 200mm x 35.9 kg/m"
"2008002006";"PERFIL (H) ASTM A572 GRAU 50, W 200mm x 46.1 kg/m"
"2008002007";"PERFIL (H) ASTM A572 GRAU 50, W 200mm x 52.0 kg/m"
"2008002008";"PERFIL (H) ASTM A572 GR.50, W200mm x 53.0 kg/m"
"2008002012";"PERFIL (H) ASTM A572 GRAU 50, W 250mm x 62.0 kg/m"
"2008002013";"PERFIL (H) ASTM A572 GRAU 50, W 250mm x 73.0 kg/m"
"2008002014";"PERFIL (H) ASTM A572 GRAU 50, W 250mm x 80.0 kg/m"
"2008002015";"PERFIL (H) ASTM A572 GRAU 50, W 250mm x 85.0 kg/m"
"2008002026";"PERFIL (H) ASTM A572 GRAU 50, W 360mm x 91.0 kg/m"
"2008002029";"PERFIL (H) ASTM A572 GR.50,  W360mm x 122.0 kg/m"
"2008004001";"PERFIL (H) AC, ASTM A-36, W150mm x 22.5 kg/m"
"2008004003";"PERFIL (H) ASTM A36, W150mm x 37.1 kg/m"
"2008004004";"PERFIL (H) ASTM A36, W200mm x 35.9 kg/m"
"2008004006";"PERFIL (H) ASTM A36, W 200mm x 46.1 kg/m"
"2008004007";"PERFIL (H) ASTM A36, W200mm x 52.0 kg/m"
"2008004010";"PERFIL (H) ASTM A36, W200mm x 71.0 kg/m"
"2008004013";"PERFIL (H) ASTM A36, W250mm x 73.0 kg/m"
"2008004014";"PERFIL (H) ASTM A36, W 250mm x 80.0 kg/m"
"2008004018";"PERFIL (H) ASTM A36, W250mm x 115.0 kg/m"
"2008004019";"PERFIL (H) ASTM A36, HP 310mm x 79.0 kg/m"
"2008004030";"PERFIL (H) ASTM A36, 101.6 x 101.6mm x 20.5 kg/m"
"2008004034";"PERFIL (H) ASTM A36, 323 x 309mm x 143 kg/m"
"2004003002";"VIGA TIPO (I), AC, A36, ALMA (2) 6.38mm DIM 3 x 2.3/8 pol"
"2004003003";"VIGA TIPO (I), AC, A36, ALMA (1) 4.90mm DIM 4 x 2.5/8 pol"
"2004003004";"VIGA TIPO (I), AC, A36, ALMA (2) 6.43mm DIM 4 x 2.5/8 pol"
"2004003007";"VIGA TIPO (I), AC, A36, ALMA (1) 5.89mm DIM 6 x 3.3/8 pol"
"2004003008";"VIGA TIPO (I), AC, A36, ALMA (2) 8.71mm DIM 6 x 3.3/8 pol"
